Serial Number,Year,Title,Abstract,Primary Major Class,Secondary Major Class,Primary Major Score,Secondary Major Score,margin_12
1840,2013,Study on the syntheses of ferrofluids by different iron compounds and their specific adsorption rate of magnetic fluid hyperthermia,"The highest SAR (specific adsorption rate) value of ferrofluid was found to be 28.5±1.9W/g, when prepared by using ferrous chloride tetrahydrate (FeCl2·4H2O) and iron(III)nitrate 9-hydrate(Fe(NO3)3· 9H2O) with the 1:1 ratio of iron compound's molarity. The SAR values of ferrofluids were found to be 62.0±6.5, 59.4±10.3, and 66.0±5.0 W/g, respectively, when prepared by using ferrous sulfate 7-hydrate (FeSO4·7H2O) and ferric chloride hexahydrate (FeCl3·6H2O) with the 1:2.5, 2.5:1, and 3:1 ratio of iron compound's molarity. The SAR values of ferrofluids were found to be 66.6±7.0 and 63.5±6.0 W/g respectively, when prepared by using ferrous sulfate 7-hydrate (FeSO4·7H2O) and iron(III)nitrate 9-hydrate (Fe(NO3)3·9H2O), with the 1:1, 1:1.5 and 1:2 ratio of iron compound's molarity. The SAR values of ferrofluids were found to be 84.7±12.7, 93.4±14.2 and 89.2±6.4 W/g, respectively, when prepared by using ferrous chloride tetrahydrate (FeCl2·4H2O) and ferric chloride hexahydrate (FeCl3·6H2O), with the 1:1, 1: 1.5 and 1:2 ratio of iron compound's molarity. According to the results, the different iron compounds and their molarity ratio of Fe2+ and Fe3+ will effectively affect the heating quality of ferrofluid for magnetic fluid hyperthermia. The highest SAR value of ferrofluid is 93.4±14.2 W/g when prepared by using FeCl2· 4H2O and FeCl3· 6H2O with the 1:1.5 ratio of iron compound's molarity. © (2013) Trans Tech Publications, Switzerland.",5,2,0.21421818435192108,0.21404609084129333,0.00017209351062774658
122,2024,"Effect of Gd3+ ion doping on structural, optical, magnetic and dielectric properties on superparamagnetic Mg0.5Zn0.5Fe2−xGdxO4 (0 ≤ x ≤ 1) nanoparticles synthesized via oleic acid assisted chemical co-precipitation method","In the present study, different compositions having general formula Mg0.5Zn0.5GdxFe2−xO4, (x = 0, 0.025, 0.050, 0.075, 0.1) were synthesized using chemical co-precipitation method. The substitution of Gd3+ ions have exhibited profound impacts on the structural, morphological, magnetic, and optical parameters of Mg-Zn ferrites. Single-phase cubic spinel structure has been substantiated by X-ray diffractometer (X-ray diffraction, XRD) analysis for all compositions without any contamination peak. The values of the lattice constant and X-ray density both show an increasing trend when the Gd3+ ion concentration increases. (Fourier transformed infrared spectroscopy) FTIR spectra recorded in the mid-infrared region (4000–400 cm−1) exhibit two main absorption bands associated with the Oh and Td sites within the frequency range of 400–600 cm−1. Morphological studies using (High-resolution transmission electron microscopy) HR-TEM analysis reveal agglomeration of nanoparticles and the average particle size lies between 8 and 9 nm. Maximum magnetization displays an erratic trend with increasing Gd3+ ion concentration, although both retentivity and coercivity decreases. The hysteresis curve for samples of differing ratios of Gd3+ ions demonstrated the superparamagnetic nature. Tauc's plot was employed to calculate the energy bandgap (Eg) of synthesized nanoparticles and Eg value were observed to decline from 3.563 eV to 3.521 eV with an increasing Gd3+ ion concentration. Impedance analyzer was used in the frequency range of 100 Hz–100 MHz to study dielectric properties at room temperature. The dielectric parameters declined as the frequency values increased. Due to lower values of dielectric parameters in Gd3+ ion doped Mg–Zn nano-ferrite, these materials are suitable in the fabrication of devices that need to operate at high frequencies such as switching memory storage devices. Moreover, these materials are appropriate for application in ferrofluids and medicinal treatments such as magnetic hyperthermia because of their low coercive field value. © 2024 Elsevier B.V.",5,1,0.2128065526485443,0.21263010799884796,0.0001764446496963501
1657,2014,Direct amine-functionalisation of γ-Fe2O3 nanoparticles,"A novel and simple preparation of amine-modified γ-Fe 2O3 nanoparticles is described. The presence of amine groups on the surface, instead of hydroxyl groups, will allow conjugation of biologically active molecules to the iron oxide nanoparticles without the need for a size increasing silica shell. Furthermore, the outer amine-layer increases the temperature of the γ-Fe2O3 to α-Fe 2O3 structural transition in a similar way to previously reported cationic substitutions. This may suggest the formation of an oxide-nitride outer layer. Re-dispersion of the amine-modified γ-Fe 2O3 nanoparticles led to the preparation of stable ferrofluids. © 2014 The Royal Society of Chemistry.",3,2,0.24378304183483124,0.24360433220863342,0.00017870962619781494
263,2024,Removal of Propylparaben in an Aqueous System using Magnetite-Silica Ferrofluids of Hydrophobic Deep Eutectic Solvent,"A novel sorbent based on ferrofluid hydrophobic deep eutectic solvent magnetite silica (Fe3O4@SiO2@mSiO2HDES) was successfully synthesized by adding menthol-fatty acid as carrier liquid onto Fe3O4@SiO2@mSiO2 composite. The crystallinity, morphological, functional group and magnetic properties of the materials were characterized by x-ray diffraction, scanning electron microscopy-EDX, Brunauer–Emmett–Teller, vibrating sample magnetometer, thermogravimetric analysis and Fourier Transform-infrared spectroscopy. The adsorption performance of parabens was evaluated as model water pollutants. The Fe3O4@SiO2@mSiO2-HDES ferrofluid was used as a ferrofluid sorbent of parabens prior to spectrophotometry UV-Vis. The effect of several contribution parameters was optimized including ferrofluid volume, pH, stirring time and ionic strength. Under the optimum conditions, a combination of Fe3O4@SiO2@mSiO2-menthol/palmitic acid was achieved as the best ferrofluid with % removal values ranging from 81.00% to 98.62%. The ferrofluid Fe3O4@SiO2@mSiO2-HDES demonstrated high efficiency for the adsorption paraben in the water system which suggests a great potential alternative method for the adsorption of water contaminants in the aquatic system. © 2024 King Mongkut’s University of Technology North Bangkok. All Rights Reserved.",2,1,0.35940632224082947,0.3592199683189392,0.0001863539218902588
3383,1999,Relaxation of the magnetic field-induced birefringence in ferrosmectics,"Ferrosmectics are magnetic liquid crystals which consist of a lyotropic lamellar phase in which colloidal particles of maghemite are incorporated. The rotational dynamics of the colloidal particles is studied by measuring the linear birefringence relaxation of an oriented ferrosmectic sample submitted to a pulse of magnetic field. Two characteristic time scales are found for the relaxation rate. The shorter ( ∼ 5 μs) is the characteristic Brownian relaxation time of the particles in the isotropic colloidal suspension (ferrofluid). The slow evolution ( ∼ 15 ms), due to the presence of the lyotropic matrix, can be interpreted as due to the adsorption of some particles on the surfactant layers. © 1999 Published by Elsevier Science B.V. All rights reserved.",1,3,0.23886285722255707,0.23861628770828247,0.00024656951427459717
2564,2007,Mathematical modeling of biomagnetic flow in a micropolar fluid-saturated darcian porous medium,"In this paper a mathematical model of the two-dimensional fully developed steady, viscous flow of a non-conducting biomagnetic micropolar fluid through a Darcian porous medium model of tissue is presented. The momentum conservation equations with zero pressure gradient are extended to incorporate the biomagnetic body force terms along the X and Y axes and also the Darcian linear drag in the X and Y directions, with appropriate boundary conditions. An angular momentum equation is also included for the spin of the microelements. The equations are non-dimensionalized using a set of transformations following Tzirtzilakis et al. (2004). A finite element solution is generated to the resulting non-dimensional model and the effects of biomagnetic number (NH), Darcy number (Da) and micropolar viscosity ratio parameter (R) on the X- and Y-direction velocity profiles is studied in detail. A number of special cases of the flow model are also discussed. The numerical solution is compared with a finite difference solution using central differencing and found to be in excellent agreement. The model finds applications in biomedical device technology, blood transport in tumors, brain tissue and soft connective tissue zones as well as in fundamental hydrodynamics of ferrofluids in porous materials. © 2007 Begell House, Inc.",1,2,0.2438812404870987,0.24362759292125702,0.0002536475658416748
537,2022,The Theoretical and Experimental Study of a Ferrofluid Inertial Sensor,"In this paper, an inertial sensor exploiting the self-levitation of a magnetic object immersed in ferrofluids is presented. The ferrofluid absorbed on the magnetic object produces an unusual buoyant force that resists gravity and serves as an elastic force. When the magnetic object moves under an external perturbation, the elastic force tries to return the magnetic object to its initial position. Therefore, the analysis of the buoyant force is the key to ensuring that the inertial sensor can achieve the excellent static performance. A series of simulations and experiments are used to optimize the buoyant force. Furthermore, the stable levitation height of the magnetic object is determined, and the influence of the ferrofluid mass on the buoyant force is studied. The comparison between numerical calculations and experimental measurements shows a good agreement. The satisfactory linearity and high sensitivity indicate the feasibility of the ferrofluid inertial sensor.  © 2001-2012 IEEE.",3,2,0.2835555970668793,0.2832677662372589,0.00028783082962036133
2073,2011,"Application of ""parallel"" moiré deflectometry and the single beam Z-scan technique in the measurement of the nonlinear refractive index","In this paper, the application of ""parallel"" moiré deflectometry in measuring the nonlinear refractive index of materials is reported. In ""parallel"" moiré deflectometry the grating vectors are parallel, and the resulting moiré fringes are also parallel to the grating lines. Compared to ""rotational"" moiré deflectometry and the Z-scan technique, which cannot easily determine the moiré fringe's angle of rotation and is sensitive to power fluctuations, respectively, ""parallel"" moiré deflectometry is more reliable, which allows one to measure the radius of curvature of the light beam by measuring the moiré fringe spacing. The nonlinear refractive index of the sample, including the sense of the change, is obtained from the moiré fringe spacing curve. The method is applied for measuring the nonlinear refractive index of ferrofluids. © 2011 Optical Society of America.",3,1,0.20760804414749146,0.2073184847831726,0.00028955936431884766
2031,2011,Magnetization of multicomponent ferrofluids,"The solution of the mean spherical approximation (MSA) integral equation for isotropic multicomponent dipolar hard sphere fluids without external fields is used to construct a density functional theory (DFT), which includes external fields, in order to obtain an analytical expression for the external field dependence of the magnetization of ferrofluidic mixtures. This DFT is based on a second-order Taylor series expansion of the free energy density functional of the anisotropic system around the corresponding isotropic MSA reference system. The ensuing results for the magnetic properties are in quantitative agreement with our canonical ensemble Monte Carlo simulation data presented here. © 2011 IOP Publishing Ltd.",4,3,0.21422062814235687,0.21392908692359924,0.0002915412187576294
2729,2005,Thermotropic behaviour of the complex liquid crystal system containing 8CB [4-cyano-4'-(n-octylbiphenyl)] and organic ferrofluid,"A ferronematic liquid crystal (FNLC) system containing 8CB (4-cyano-4'-[n-octylbiphenyl]) and magnetite particles was prepared by using the two steps method. The magnetite particles were dispersed in the organic (liquid crystalline) media by using toluene. However, the toluene affected the thermotropic and structural behaviour of the pure basic (8CB) substance, drastically. The product was stable as no any sedimentation and coagulation has been observed during several weeks after the preparation. However, the distribution of magnetite particles was found not to be homogeneous in the nm size range. © 2005 Akadémiai Kiadó, Budapest.",5,4,0.2195013463497162,0.21917474269866943,0.00032660365104675293
607,2021,Temperature-dependent fractal structure of particle clusters in aqueous ferrofluids by small-angle scattering,"The heating effect in the temperature interval of 20―70 °C on the aggregate structure in aqueous ferrofluids is analyzed basing on the data of small-angle X-ray (SAXS) and neutron (SANS) scattering. Samples prepared according to the same stabilization procedure (double-layer surfactant coating) but with different dispersed magnetic materials (magnetite and cobalt ferrite) show different temperature sensitivity. A temperature-induced reorganization from developed aggregates to elongated chain-like aggregates is revealed by observing changes in the scattering curves, which are considered in the frame of the fractal concept. In addition to the determination of fractal dimension, the accent is also given to the cut-off effect in the scattering curves induced by the finite aggregate size. The scattering model is chosen from the available approaches basing on the analysis of the dimension-dependent universal parameter of the average aggregate form-factor, which continuously changes with varying temperature. The particle polydispersity is taken into account. The contrast variation based on isotope (H/D) substitution in solvent is done in SANS experiments to conclude about the structural organization of magnetic particles and surfactant component in the systems. © 2020 Elsevier B.V.",4,2,0.21903066337108612,0.21867574751377106,0.0003549158573150635
351,2023,Behavior of Magnetic Nanoparticles in the Presence of Magnetic and High Intensity Electric Fields: Nonlinear Optical Effects,"In the first part of this chapter, experiments that allowed the determination of nonlinear optical parameters of magnetic nanoparticles present in ferrofluids, subjected to high-intensity electric fields, with light in the frequency region of ~102 THz will be discussed. The magnetic moment of each nanoparticle will be used to orient them in the presence of an external magnetic field, https://www.w3.org/1998/Math/MathML""> H → https://s3-euw1-ap-pe-df-pch-content-public-p.s3.eu-west-1.amazonaws.com/9781003274247/1b747ac1-12f0-4375-8ec5-eb10bb25b281/content/mathHmuiten_B.tif"" xmlns:xlink=""https://www.w3.org/1999/xlink""/>, allowing the determination of nonlinear optical parameters with the optical electric field parallel and perpendicular to https://www.w3.org/1998/Math/MathML""> H → https://s3-euw1-ap-pe-df-pch-content-public-p.s3.eu-west-1.amazonaws.com/9781003274247/1b747ac1-12f0-4375-8ec5-eb10bb25b281/content/mathHmuiten_B.tif"" xmlns:xlink=""https://www.w3.org/1999/xlink""/> . In the last part the problem of the interaction of a strong magnetic field with the ferromagnetic particles, giving special attention to the theoretical procedure to perform computer simulation of the rotation of the magnetic moments will be seen. The stochastic differential equations for the rotation of the magnetic moments and orient the reader to perform numerical simulations will be shown. © 2023 R.P. Pant, Vidya Nand Singh, Komal Jain and Arvind Gautam.",5,2,0.2249639332294464,0.22459197044372559,0.0003719627857208252
1249,2017,Clustering Behavior in Aqueous Slurry of Magnetite Nanoparticles at Different Temperatures by Photon Scattering,"This paper describes ‘one-pot’ diethylene glycol assisted chemical route for the synthesis of ultra-stable aqueous Fe3O4 nanoparticle dispersion with narrow size distribution. The resulting particles were characterized in terms of structure, morphology, particle size, z eta potential, dispersibility and colloidal properties. Thermal analysis as well as FTIR data indicated the presence of organic content in the material. The potential for obtaining a ferrofluid was also demonst rated and its colloidal stability was studied at different temperatures over months by observing hydrodynamic size and surface charge by photon correlation spectroscopy. Outer shell of surface active DEG used in the present study not only provided the stability to produce ‘one-shell cluster dispersion’, which was found to have no effect on heating and magnetic field, but also can be highly useful for biomedical applications due to their known bio-compatibility. © 2017 Indian Ceramic Society.",5,3,0.2342507541179657,0.23387737572193146,0.0003733783960342407
2882,2004,Synthesis and characterization of surfactant and silica-coated cobalt ferrite nanoparticles,"In this paper we report the synthesis and the characterization of ferrofluids constituted by cobalt-ferrite nanoparticles obtained from two different synthetic pathways: microemulsions and supersaturated solutions. Microemulsion technology leads to the formation of surfactant-coated magnetic nanoparticles, while dispersions of nanoparticles stabilized by their surface charges has been obtained by precipitating cobalt-ferrite from a supersaturated solution. The synthesis of a shell of silica on top of these nanoparticles is also reported. Surfactant coated nanoparticles have been characterized by means of UV-Vis absorption spectroscopy and trasmission electron microscopy (TEM), while nanoparticles obtained by supersaturated solutions have been studied by means of small-angle X-ray scattering (SAXS). © 2004 Elsevier B.V. All rights reserved.",2,3,0.20750878751277924,0.20713303983211517,0.0003757476806640625
3517,1996,Kelvin-Helmholtz instability of miscible ferrofluids,"We study the stability of an interface between two inviscid magnetic fluids of different densities flowing parallel to each other in an oscillatory manner. The system is pervaded by a uniform oblique magnetic field distribution. The analysis allows for mass and heat transfer across the interface. A general eigenvalue relation is derived and discussed analytically. The classical stability criterion is found to be substantially modified due to the effect of the oblique magnetic field with mass and heat transfer. Some previous studies are reported for appropriate data choices. The longitudinal magnetic field has a strong stabilizing influence on all wavelengths, which can be used to suppress the destabilizing influence of the mass and heat transfer. We conclude with a discussion of the stability of unsteady shear layers on the basis of the results. The parametric excitation of the surface waves is analyzed by means of the multiple-time-scales method. The transition curves are obtained analytically.",2,3,0.21813854575157166,0.21773046255111694,0.0004080832004547119
