Serial Number,Year,Title,Baseline Primary Class,Baseline Secondary Class,Baseline Tertiary Class,Baseline Top1_score,Baseline Top2_score,Baseline margin_12,BART Primary Class,BART Primary Desc,BART Secondary Class,BART Secondary Desc,BART Tertiary Class,BART Tertiary Desc,BART Reasoning,BART Top1_score,BART Top2_score,BART margin_12,Primary agrees
564,2018,Devices having a volume-displacing ferrofluid piston,24,45,26,0.0353817380964756,0.035296570509672165,8.516758680343628e-05,50,Review - Survey,16,Handling of,15,"Manipulation, Droplets, other","Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.083), 16 Material - Handling of (0.074), 15 Material - Manipulation, Droplets, other (0.056)",0.08339989185333252,0.07438217848539352,0.009017713367938995,False
559,2016,WEEPING FERROFLUID ANTI-ICE SYSTEM,24,45,26,0.0353817380964756,0.035296570509672165,8.516758680343628e-05,15,"Manipulation, Droplets, other",38,Using principles of magnetic induction,50,Review - Survey,"Abstract-only zero-shot classification. Top-3 labels by score: 15 Material - Manipulation, Droplets, other (0.086), 38 Application - Using principles of magnetic induction (0.085), 50 Review - Survey (0.068)",0.08569686114788055,0.08545101433992386,0.00024584680795669556,False
558,2018,WEEPING FERROFLUID ANTI-ICE SYSTEM,24,45,26,0.0353817380964756,0.035296570509672165,8.516758680343628e-05,15,"Manipulation, Droplets, other",38,Using principles of magnetic induction,50,Review - Survey,"Abstract-only zero-shot classification. Top-3 labels by score: 15 Material - Manipulation, Droplets, other (0.086), 38 Application - Using principles of magnetic induction (0.085), 50 Review - Survey (0.068)",0.08569686114788055,0.08545101433992386,0.00024584680795669556,False
1057,2024,ACOUSTIC RECEIVERS WITH MULTIPLE DIAPHRAGMS,24,49,37,0.05617617070674896,0.056080225855112076,9.59448516368866e-05,50,Review - Survey,16,Handling of,13,Properties,"Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.095), 16 Material - Handling of (0.080), 13 Material - Properties (0.072)",0.09531237185001373,0.07996319234371185,0.01534917950630188,False
1086,2013,SUPER CONDUCTING SYNCHRONOUS MACHINE COMPRISING A ROTOR WHICH CAN ROTATE IN RELATION TO A STATOR AND WHICH HAS AT LEAST ONE SUPER CONDUCTING WINDING,24,49,37,0.05617617070674896,0.056080225855112076,9.59448516368866e-05,50,Review - Survey,16,Handling of,28,Stability and other,"Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.076), 16 Material - Handling of (0.063), 28 Computation - Stability and other (0.060)",0.07625792175531387,0.06343313306570053,0.012824788689613342,False
463,2009,Magnetic Immunodiagnostic Method for the Demonstration of Antibody/Antigen Complexes especially of blood groups,51,39,41,0.03828423470258713,0.038155391812324524,0.00012884289026260376,38,Using principles of magnetic induction,50,Review - Survey,14,Evaluation / Characterization,"Abstract-only zero-shot classification. Top-3 labels by score: 38 Application - Using principles of magnetic induction (0.120), 50 Review - Survey (0.061), 14 Material - Evaluation / Characterization (0.058)",0.12012474983930588,0.06126116216182709,0.05886358767747879,False
1147,2012,"LUMINESCENT ORGANIC/INORGANIC MATRIX, METHOD FOR THE PRODUCTION THEREOF AND LUMINESCENT MOLECULAR THERMOMETER BASED ON SAID MATRIX",51,39,41,0.03828423470258713,0.038155391812324524,0.00012884289026260376,16,Handling of,50,Review - Survey,37,Other than evaluation indicated in class 14 above,"Abstract-only zero-shot classification. Top-3 labels by score: 16 Material - Handling of (0.089), 50 Review - Survey (0.072), 37 Experimentation - Other than evaluation indicated in class 14 above (0.070)",0.08907143771648407,0.07222670316696167,0.0168447345495224,False
426,2008,Optical Element,37,49,40,0.03535163775086403,0.03521361202001572,0.00013802573084831238,50,Review - Survey,16,Handling of,38,Using principles of magnetic induction,"Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.081), 16 Material - Handling of (0.068), 38 Application - Using principles of magnetic induction (0.059)",0.08140373975038528,0.06777827441692352,0.013625465333461761,False
85,1988,Electric motor with ferrofluid bearing,28,24,22,0.04631903022527695,0.04617621749639511,0.00014281272888183594,50,Review - Survey,16,Handling of,47,"Bearing, Seal, Lubricant","Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.074), 16 Material - Handling of (0.060), 47 Application - Bearing, Seal, Lubricant (0.056)",0.07373177260160446,0.05963718146085739,0.01409459114074707,False
1136,2019,Inertial haptic actuators having a cantilevered beam and a smart material,29,28,22,0.034522224217653275,0.03437874838709831,0.00014347583055496216,50,Review - Survey,16,Handling of,37,Other than evaluation indicated in class 14 above,"Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.069), 16 Material - Handling of (0.068), 37 Experimentation - Other than evaluation indicated in class 14 above (0.057)",0.06862501800060272,0.06776591390371323,0.0008591040968894958,False
1142,2012,THORACIC PORT WITH CHANGING ELASTICITY,29,28,22,0.034522224217653275,0.03437874838709831,0.00014347583055496216,50,Review - Survey,45,Flow,16,Handling of,"Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.072), 45 Application - Flow (0.064), 16 Material - Handling of (0.058)",0.07159385085105896,0.06447262316942215,0.00712122768163681,False
1150,2013,IMAGING AND SENSING OF SUBTERRANEAN RESERVOIRS,29,28,22,0.034522224217653275,0.03437874838709831,0.00014347583055496216,50,Review - Survey,16,Handling of,37,Other than evaluation indicated in class 14 above,"Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.091), 16 Material - Handling of (0.083), 37 Experimentation - Other than evaluation indicated in class 14 above (0.076)",0.0913841724395752,0.08278138190507889,0.008602790534496307,False
1153,2024,"LIQUID-IMPREGNATED SURFACES, METHODS OF MAKING, AND DEVICES INCORPORATING THE SAME",29,28,22,0.034522224217653275,0.03437874838709831,0.00014347583055496216,50,Review - Survey,45,Flow,14,Evaluation / Characterization,"Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.078), 45 Application - Flow (0.063), 14 Material - Evaluation / Characterization (0.061)",0.07805398851633072,0.0631326287984848,0.014921359717845917,False
1338,2014,Dynamic and Switchable Slippery Surfaces,29,28,22,0.034522224217653275,0.03437874838709831,0.00014347583055496216,50,Review - Survey,28,Stability and other,14,Evaluation / Characterization,"Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.090), 28 Computation - Stability and other (0.060), 14 Material - Evaluation / Characterization (0.057)",0.08956585079431534,0.059561457484960556,0.030004393309354782,False
1339,2025,PROPULSION SYSTEM USING FORCE FIELD GENERATING COILS,29,28,22,0.034522224217653275,0.03437874838709831,0.00014347583055496216,50,Review - Survey,16,Handling of,14,Evaluation / Characterization,"Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.101), 16 Material - Handling of (0.064), 14 Material - Evaluation / Characterization (0.058)",0.10126817226409912,0.06425055861473083,0.037017613649368286,False
273,2002,Apparatus and method for providing a ferrofluidic seal,25,12,27,0.0412425696849823,0.041096847504377365,0.0001457221806049347,50,Review - Survey,16,Handling of,37,Other than evaluation indicated in class 14 above,"Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.090), 16 Material - Handling of (0.064), 37 Experimentation - Other than evaluation indicated in class 14 above (0.055)",0.09020938724279404,0.06406605988740921,0.026143327355384827,False
352,2002,Methods for conducting current between a scanned-probe and storage medium,22,24,26,0.03524242714047432,0.035074494779109955,0.00016793236136436462,50,Review - Survey,14,Evaluation / Characterization,16,Handling of,"Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.069), 14 Material - Evaluation / Characterization (0.068), 16 Material - Handling of (0.066)",0.06882622092962265,0.0680847093462944,0.0007415115833282471,False
494,1999,"Nanostructured metals, metal carbides, and metal alloys",24,26,51,0.058930397033691406,0.058747753500938416,0.00018264353275299072,50,Review - Survey,16,Handling of,13,Properties,"Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.098), 16 Material - Handling of (0.080), 13 Material - Properties (0.073)",0.09833616763353348,0.08044275641441345,0.017893411219120026,False
1254,2021,"Security Display Devices, Their Production and Use",24,26,51,0.058930397033691406,0.058747753500938416,0.00018264353275299072,15,"Manipulation, Droplets, other",25,Flow,50,Review - Survey,"Abstract-only zero-shot classification. Top-3 labels by score: 15 Material - Manipulation, Droplets, other (0.068), 25 Computation - Flow (0.061), 50 Review - Survey (0.060)",0.06764501333236694,0.06085658073425293,0.006788432598114014,False
1095,2016,Devices and methods for separating particles,24,26,37,0.038766879588365555,0.03858174756169319,0.00018513202667236328,50,Review - Survey,16,Handling of,37,Other than evaluation indicated in class 14 above,"Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.112), 16 Material - Handling of (0.062), 37 Experimentation - Other than evaluation indicated in class 14 above (0.059)",0.11231650412082672,0.06243540346622467,0.04988110065460205,False
1051,2020,ULTRA SLIM TRANSDUCER,24,26,37,0.038766879588365555,0.03858174756169319,0.00018513202667236328,50,Review - Survey,14,Evaluation / Characterization,16,Handling of,"Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.087), 14 Material - Evaluation / Characterization (0.067), 16 Material - Handling of (0.063)",0.08720779418945312,0.06748475879430771,0.019723035395145416,False
396,2007,"Magnetic mounting of a rotor shaft relative to a stator, using a high-Tc superconductor",16,24,37,0.03607642278075218,0.03588983044028282,0.00018659234046936035,50,Review - Survey,28,Stability and other,38,Using principles of magnetic induction,"Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.072), 28 Computation - Stability and other (0.057), 38 Application - Using principles of magnetic induction (0.052)",0.0721617192029953,0.0574348047375679,0.014726914465427399,False
343,1987,Ferro-fluid bearing,16,24,37,0.03607642278075218,0.03588983044028282,0.00018659234046936035,50,Review - Survey,16,Handling of,15,"Manipulation, Droplets, other","Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.074), 16 Material - Handling of (0.065), 15 Material - Manipulation, Droplets, other (0.060)",0.07373081147670746,0.0651986375451088,0.008532173931598663,False
1280,2017,ELECTRICAL MULTILAYER LAMINATION TRANSFER FILMS,37,49,29,0.037843409925699234,0.037649091333150864,0.00019431859254837036,50,Review - Survey,16,Handling of,13,Properties,"Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.092), 16 Material - Handling of (0.075), 13 Material - Properties (0.070)",0.09222684055566788,0.07547559589147568,0.0167512446641922,False
1259,2016,MICROFLUIDIC PUMP,37,49,29,0.037843409925699234,0.037649091333150864,0.00019431859254837036,45,Flow,50,Review - Survey,16,Handling of,"Abstract-only zero-shot classification. Top-3 labels by score: 45 Application - Flow (0.091), 50 Review - Survey (0.081), 16 Material - Handling of (0.055)",0.09059232473373413,0.08093790709972382,0.009654417634010315,False
195,1997,Ferrofluidic seal centering ring,49,23,37,0.035579510033130646,0.035378362983465195,0.00020114704966545105,50,Review - Survey,38,Using principles of magnetic induction,16,Handling of,"Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.085), 38 Application - Using principles of magnetic induction (0.059), 16 Material - Handling of (0.058)",0.08493702858686447,0.05851753056049347,0.026419498026371002,False
227,2009,VARIBLE FOCUS LENS,22,12,16,0.046921078115701675,0.04671744257211685,0.0002036355435848236,16,Handling of,50,Review - Survey,13,Properties,"Abstract-only zero-shot classification. Top-3 labels by score: 16 Material - Handling of (0.110), 50 Review - Survey (0.076), 13 Material - Properties (0.074)",0.11032499372959137,0.07595041394233704,0.034374579787254333,False
500,2001,Sensor for remote detection of objects,24,40,47,0.04972626641392708,0.049496982246637344,0.0002292841672897339,16,Handling of,13,Properties,50,Review - Survey,"Abstract-only zero-shot classification. Top-3 labels by score: 16 Material - Handling of (0.175), 13 Material - Properties (0.106), 50 Review - Survey (0.066)",0.1746857613325119,0.106163889169693,0.06852187216281891,False
1174,2010,Image processing techniques for printing identification cards and documents,22,24,26,0.03966397047042847,0.03943007066845894,0.0002338998019695282,50,Review - Survey,16,Handling of,37,Other than evaluation indicated in class 14 above,"Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.079), 16 Material - Handling of (0.069), 37 Experimentation - Other than evaluation indicated in class 14 above (0.061)",0.07924571633338928,0.06857059895992279,0.010675117373466492,False
1193,2014,All-Nanoparticle Concave Diffraction Grating Fabricated by Self-Assembly onto Magnetically-Recorded Templates,22,24,26,0.03966397047042847,0.03943007066845894,0.0002338998019695282,38,Using principles of magnetic induction,50,Review - Survey,16,Handling of,"Abstract-only zero-shot classification. Top-3 labels by score: 38 Application - Using principles of magnetic induction (0.082), 50 Review - Survey (0.065), 16 Material - Handling of (0.062)",0.08196950703859329,0.0653044730424881,0.016665033996105194,False
103,2008,PUMPING SCHEMES FOR X-RAY TUBES WITH FERROFLUID SEALS,40,51,29,0.03582201525568962,0.035573676228523254,0.0002483390271663666,50,Review - Survey,16,Handling of,47,"Bearing, Seal, Lubricant","Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.079), 16 Material - Handling of (0.069), 47 Application - Bearing, Seal, Lubricant (0.060)",0.07888686656951904,0.06932234764099121,0.009564518928527832,False
109,2009,Pumping schemes for X-ray tubes with ferrofluid seals,40,51,29,0.03582201525568962,0.035573676228523254,0.0002483390271663666,50,Review - Survey,16,Handling of,47,"Bearing, Seal, Lubricant","Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.079), 16 Material - Handling of (0.069), 47 Application - Bearing, Seal, Lubricant (0.060)",0.07888686656951904,0.06932234764099121,0.009564518928527832,False
333,2007,RAPID HEATING AND COOLING FURNACE,46,26,24,0.05545462295413017,0.05520306155085564,0.00025156140327453613,46,Heat transfer,50,Review - Survey,45,Flow,"Abstract-only zero-shot classification. Top-3 labels by score: 46 Application - Heat transfer (0.104), 50 Review - Survey (0.073), 45 Application - Flow (0.061)",0.10380382090806961,0.07263021916151047,0.031173601746559143,True
979,2017,Methods for preparing customized polymeric articles,16,24,15,0.055979978293180466,0.055728089064359665,0.0002518892288208008,38,Using principles of magnetic induction,16,Handling of,50,Review - Survey,"Abstract-only zero-shot classification. Top-3 labels by score: 38 Application - Using principles of magnetic induction (0.072), 16 Material - Handling of (0.070), 50 Review - Survey (0.068)",0.07215365022420883,0.07045044749975204,0.0017032027244567871,False
978,2025,NMR CHARACTERIZATION OF MODIFIED DRILLING FLUIDS,16,24,15,0.055979978293180466,0.055728089064359665,0.0002518892288208008,50,Review - Survey,38,Using principles of magnetic induction,14,Evaluation / Characterization,"Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.072), 38 Application - Using principles of magnetic induction (0.067), 14 Material - Evaluation / Characterization (0.066)",0.0721515342593193,0.0669565349817276,0.005194999277591705,False
497,2008,Method and Arrangement for the Contactless Inspection of Moving Electrically Conductive Substances,49,13,22,0.04362792149186134,0.04337567836046219,0.00025224313139915466,50,Review - Survey,16,Handling of,15,"Manipulation, Droplets, other","Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.080), 16 Material - Handling of (0.062), 15 Material - Manipulation, Droplets, other (0.061)",0.07975460588932037,0.061917513608932495,0.01783709228038788,False
305,2007,LOUDSPEAKER SYSTEM FOR ACOUSTIC INSTRUMENTS AND METHOD THEREFOR,29,26,22,0.03593694418668747,0.03566272184252739,0.00027422234416007996,50,Review - Survey,13,Properties,45,Flow,"Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.078), 13 Material - Properties (0.057), 45 Application - Flow (0.057)",0.07783367484807968,0.05735795199871063,0.02047572284936905,False
237,2006,Method and system for characterizing aspheric surfaces of optical elements,26,16,51,0.03642378747463226,0.03614487498998642,0.0002789124846458435,14,Evaluation / Characterization,50,Review - Survey,16,Handling of,"Abstract-only zero-shot classification. Top-3 labels by score: 14 Material - Evaluation / Characterization (0.096), 50 Review - Survey (0.080), 16 Material - Handling of (0.061)",0.09627564996480942,0.07989926636219025,0.01637638360261917,False
231,2004,Method and system for characterizing aspheric surfaces of optical elements,26,16,51,0.03642378747463226,0.03614487498998642,0.0002789124846458435,14,Evaluation / Characterization,50,Review - Survey,16,Handling of,"Abstract-only zero-shot classification. Top-3 labels by score: 14 Material - Evaluation / Characterization (0.096), 50 Review - Survey (0.080), 16 Material - Handling of (0.061)",0.09627564996480942,0.07989926636219025,0.01637638360261917,False
700,2017,Alignment of three dimensional integrated circuit components,24,47,40,0.04018426686525345,0.0398934930562973,0.00029077380895614624,50,Review - Survey,28,Stability and other,14,Evaluation / Characterization,"Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.094), 28 Computation - Stability and other (0.057), 14 Material - Evaluation / Characterization (0.052)",0.09354983270168304,0.057219117879867554,0.03633071482181549,False
699,2017,Magnetic fluid shutter operation,24,47,40,0.04018426686525345,0.0398934930562973,0.00029077380895614624,50,Review - Survey,38,Using principles of magnetic induction,16,Handling of,"Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.083), 38 Application - Using principles of magnetic induction (0.069), 16 Material - Handling of (0.066)",0.08266456425189972,0.0692233219742775,0.013441242277622223,False
1188,2024,"Liquid-impregnated surfaces, methods of making, and devices incorporating the same",44,29,16,0.035363465547561646,0.035041794180870056,0.00032167136669158936,50,Review - Survey,45,Flow,14,Evaluation / Characterization,"Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.078), 45 Application - Flow (0.063), 14 Material - Evaluation / Characterization (0.061)",0.07805398851633072,0.0631326287984848,0.014921359717845917,False
647,2016,Ferrofluid droplets as in situ mechanical actuators and rheometers in soft materials and biological matter,21,15,24,0.03627651929855347,0.035924408584833145,0.00035211071372032166,14,Evaluation / Characterization,50,Review - Survey,15,"Manipulation, Droplets, other","Abstract-only zero-shot classification. Top-3 labels by score: 14 Material - Evaluation / Characterization (0.082), 50 Review - Survey (0.074), 15 Material - Manipulation, Droplets, other (0.063)",0.08207501471042633,0.07384704798460007,0.008227966725826263,False
202,2009,Kolben-Zylinderaggregat,26,24,37,0.04785313457250595,0.04749683663249016,0.00035629794001579285,50,Review - Survey,16,Handling of,14,Evaluation / Characterization,"Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.112), 16 Material - Handling of (0.065), 14 Material - Evaluation / Characterization (0.061)",0.11203907430171967,0.0648198276758194,0.04721924662590027,False
606,2019,Electric motor with Halbach array and ferrofluid core,24,45,40,0.03968725726008415,0.03932628035545349,0.000360976904630661,14,Evaluation / Characterization,50,Review - Survey,16,Handling of,"Abstract-only zero-shot classification. Top-3 labels by score: 14 Material - Evaluation / Characterization (0.086), 50 Review - Survey (0.081), 16 Material - Handling of (0.061)",0.08594494313001633,0.08098198473453522,0.00496295839548111,False
609,2013,FERROFLUID MODIFIED FILL FLUID FOR PRESSURE TRANSMITTERS,24,45,40,0.03968725726008415,0.03932628035545349,0.000360976904630661,50,Review - Survey,16,Handling of,51,chapter,"Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.092), 16 Material - Handling of (0.073), 51 Book / Book - chapter (0.052)",0.09223330020904541,0.07322315871715546,0.019010141491889954,False
660,2012,LABEL-FREE CELLULAR MANIPULATION AND SORTING VIA BIOCOMPATIBLE FERROFLUIDS,49,28,37,0.038641057908535004,0.03825096786022186,0.00039009004831314087,50,Review - Survey,38,Using principles of magnetic induction,16,Handling of,"Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.068), 38 Application - Using principles of magnetic induction (0.065), 16 Material - Handling of (0.056)",0.06808874756097794,0.06458892673254013,0.003499820828437805,False
670,2023,"Assembly, more particularly turbomachine, comprising a shaft seal device",49,28,37,0.038641057908535004,0.03825096786022186,0.00039009004831314087,50,Review - Survey,45,Flow,28,Stability and other,"Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.079), 45 Application - Flow (0.059), 28 Computation - Stability and other (0.054)",0.07910332083702087,0.05894851312041283,0.020154807716608047,False
951,2020,Haptic message delivery,49,37,40,0.04289192706346512,0.04249916598200798,0.00039276108145713806,50,Review - Survey,16,Handling of,37,Other than evaluation indicated in class 14 above,"Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.078), 16 Material - Handling of (0.073), 37 Experimentation - Other than evaluation indicated in class 14 above (0.069)",0.07822928577661514,0.0726531371474266,0.005576148629188538,False
1042,2016,SYSTEMS AND METHODS FOR GENERATING DAMPED ELECTROMAGNETICALLY ACTUATED PLANAR MOTION FOR AUDIO-FREQUENCY VIBRATIONS,24,47,26,0.035730116069316864,0.03532594069838524,0.00040417537093162537,38,Using principles of magnetic induction,37,Other than evaluation indicated in class 14 above,14,Evaluation / Characterization,"Abstract-only zero-shot classification. Top-3 labels by score: 38 Application - Using principles of magnetic induction (0.090), 37 Experimentation - Other than evaluation indicated in class 14 above (0.077), 14 Material - Evaluation / Characterization (0.070)",0.08990702778100967,0.07704979926347733,0.012857228517532349,False
941,2017,DEVICES AND METHODS FOR SEPARATING PARTICLES,24,49,41,0.040460746735334396,0.04005536809563637,0.00040537863969802856,50,Review - Survey,16,Handling of,37,Other than evaluation indicated in class 14 above,"Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.086), 16 Material - Handling of (0.063), 37 Experimentation - Other than evaluation indicated in class 14 above (0.051)",0.0857900008559227,0.06324780732393265,0.02254219353199005,False
321,2004,Motor with stationary shaft and high speed capillary seal,24,49,45,0.03656068444252014,0.03611098974943161,0.0004496946930885315,50,Review - Survey,47,"Bearing, Seal, Lubricant",16,Handling of,"Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.073), 47 Application - Bearing, Seal, Lubricant (0.062), 16 Material - Handling of (0.052)",0.07339521497488022,0.062049537897109985,0.011345677077770233,False
451,2007,Polymersomes and related encapsulating membranes,13,11,40,0.03768753260374069,0.03723090887069702,0.00045662373304367065,16,Handling of,50,Review - Survey,13,Properties,"Abstract-only zero-shot classification. Top-3 labels by score: 16 Material - Handling of (0.078), 50 Review - Survey (0.073), 13 Material - Properties (0.062)",0.07774930447340012,0.07316841930150986,0.004580885171890259,False
1118,2014,ACTUATING DEVICE HAVING KEYS,13,11,40,0.03768753260374069,0.03723090887069702,0.00045662373304367065,50,Review - Survey,16,Handling of,45,Flow,"Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.078), 16 Material - Handling of (0.069), 45 Application - Flow (0.066)",0.07754793018102646,0.06859366595745087,0.008954264223575592,False
